name,red,green,blue,alpha,id
unknown,0,0,0,255,0
BG,0,145,255,255,0
bottle,145,255,0,255,1
jug,145,145,145,255,2
bowl,0,155,200,255,3
suitcase,176,220,0,255,4
toaster,15,70,65,255,5
dining table,0,255,0,255,6
clock,0,172,196,255,7
monitor,88,130,183,255,17
Ipad,45,108,142,255,9
orange,65,109,255,255,10
banana,105,65,74,255,11
bed,145,0,255,255,12
toilet,72,0,255,255,13
tv,1,218,255,255,14
laptop,0,32,95,255,15
remote,133,129,110,255,16
bag,151,0,209,255,8
vase,81,54,95,255,18
TV stand,59,105,106,255,19
book,0,0,20,255,20